"filename", "language", "Python", "HTML", "CSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\templates\board\board_page.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 10, 44
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\views.py", "Python", 41, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\admin.py", "Python", 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\forms.py", "Python", 21, 0, 0, 0, 0, 0, 2, 9, 32
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0001_initial.py", "Python", 20, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0002_event_event.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0003_auto_20200614_2143.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0004_auto_20200622_1047.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0005_auto_20200622_1245.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0006_auto_20200622_1255.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0007_auto_20200622_1256.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0008_auto_20200622_1341.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0009_auto_20200623_1410.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0010_auto_20200623_1451.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0011_auto_20200623_1635.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0012_auto_20200623_1635.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0013_auto_20200623_1728.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
